,Unnamed: 0,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
40,40.0,Oakley Frogskins Polarized Sunglasses Polished Black Frame/Grey Lens One Size,https://www.shophive.com/oakley-frogskins-polarized-sunglasses-polished-black-frame-grey-lens-one-size,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/3/13_2.jpg,"Rs 21,999",None,Fashion,Shophive
41,41.0,Oakley Men's Holbrook Polarized Rectangular Sunglasses Matte Black Frame/Ice Iridium Lens 55mm,https://www.shophive.com/oakley-men-s-holbrook-polarized-rectangular-sunglasses-matte-black-frame-ice-iridium-lens-55mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/3/_/3_6_30.jpg,"Rs 24,199",None,Fashion,Shophive
42,42.0,Oakley Men's Holbrook Polarized Rectangular Sunglasses Matte BlackFrame/Ruby Iridium Lens 55mm,https://www.shophive.com/oakley-men-s-holbrook-polarized-rectangular-sunglasses-matte-blackframe-ruby-iridium-lens-55mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/5/_/5_5_1.jpg,"Rs 24,199",None,Fashion,Shophive
43,43.0,Oakley Men's Holbrook Polarized Rectangular Sunglasses Polished Black Frame/Grey Lens,https://www.shophive.com/oakley-men-s-holbrook-polarized-rectangular-sunglasses-polished-black-frame-grey-lens,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/1/4/14_3.jpg,"Rs 24,999",None,Fashion,Shophive
44,44.0,Oakley Radarlock Path Photochromic Sunglasses  Kings Woodland Camo,https://www.shophive.com/oakley-radarlock-path-photochromic-sunglasses-kings-woodland-camo,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/3/_/3_6_31.jpg,"Rs 31,899",None,Fashion,Shophive
45,45.0,Ray Ban RB3138 Shooter Sunglasses Black Frame/Green G-15XLT Lens,https://www.shophive.com/ray-ban-rb3138-shooter-sunglasses-black-frame-green-g-15xlt-lens,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/2/2/229_5.jpg,"Rs 24,999",None,Fashion,Shophive
46,46.0,Ray Ban RB3138 Shooter Sunglasses Gold Frame/Green G-15XLT Lens,https://www.shophive.com/ray-ban-rb3138-shooter-sunglasses-gold-frame-green-g-15xlt-lens,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/2/3/232_5.jpg,"Rs 28,749",None,Fashion,Shophive
47,47.0,Ray Ban RB3138 Shooter Sunglasses 002-Black/Crystal Green,https://www.shophive.com/ray-ban-rb3138-shooter-sunglasses-002-black-crystal-green,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/2/3/233_5.jpg,"Rs 30,849",None,Fashion,Shophive
48,48.0,Ray Ban RX5206 Eyeglasses Ray Ban RX5206 Eyeglasses,https://www.shophive.com/ray-ban-rx5206-eyeglasses-ray-ban-rx5206-eyeglasses,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/2/3/236_1_1.jpg,"Rs 26,499",None,Fashion,Shophive
49,49.0,Calvin Klein Men's 38 mm Reversible Flat Strap Smooth Leather Belt Color: Grey/Black,https://www.shophive.com/calvin-klein-men-s-38-mm-reversible-flat-strap-smooth-leather-belt-color-grey-black,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/8/1/81l2sf-lqel._ux466_.jpg,"Rs 8,599",None,Fashion,Shophive
