,Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
52,52,NR Stylish Striped T-Shirt With Attractive Shorts For Boys Red/Black,https://www.ishopping.pk/nr-stylish-striped-t-shirt-with-attractive-shorts-boys-red-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_striped_t-shirt_with_attractive_shorts_for_boys_red_black_new_copy_1.jpg,Boy's Clothing,ishopping,1799,-1
53,53,NR Stylish T- Shirt With Attractive Shorts For Boys Orange/Black,https://www.ishopping.pk/nr-stylish-t-shirt-with-attractive-shorts-for-boys-orange-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_t-_shirt_with_attractive_shorts_for_boys_orange_black_new.jpg,Boy's Clothing,ishopping,1799,-1
54,54,NR Stylish Angry Bird T-Shirt With Shorts For Boys Red,https://www.ishopping.pk/nr-stylish-angry-bird-t-shirt-with-shorts-boys-red-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_angry_bird_t-shirt_with_shorts_for_boys_red_new.jpg,Boy's Clothing,ishopping,1799,-1
55,55,NR Stylish Hooded T-Shirt With Shorts For Unisex Black/White,https://www.ishopping.pk/nr-stylish-hooded-t-shirt-with-shorts-unisex-black-white-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_hooded_t-shirt_with_shorts_for_unisex_black_white_new_1.jpg,Boy's Clothing,ishopping,1799,-1
56,56,NR Stylish Lining T-Shirt With Shorts For Boys Yellow/Black,https://www.ishopping.pk/nr-stylish-lining-t-shirt-with-shorts-for-boys-yellow-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_lining_t-shirt_with_shorts_yellow_black_new.jpg,Boy's Clothing,ishopping,1799,-1
57,57,NR Stylish Star T-Shirt With Army Shorts For Boys,https://www.ishopping.pk/nr-stylish-star-t-shirt-with-army-shorts-for-boys-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_star_t-shirt_with_army_shorts_for_boys_new.jpg,Boy's Clothing,ishopping,1799,-1
58,58,NR Stylish Spider-man T-Shirt With Shorts For Boys White/Blue,https://www.ishopping.pk/nr-stylish-spider-man-t-shirt-with-shorts-boys-white-blue-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_spider-man_shirt_with_shorts_for_boys_white_blue_new.jpg,Boy's Clothing,ishopping,1799,-1
59,59,NR Stylish T-Shirt With Attractive Shorts For Boys White/Orange,https://www.ishopping.pk/nr-stylish-t-shirt-with-attractive-shorts-boys-white-orange-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_t-shirt_with_attractive_shorts_for_boys_white_orange_new_1.jpg,Boy's Clothing,ishopping,1799,-1
60,60,NR Stylish T-Shirt With Attractive Shorts For Boys White/Green,https://www.ishopping.pk/nr-stylish-t-shirt-with-attractive-shorts-boys-white-green-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_t-shirt_with_attractive_shorts_for_boys_white_green_new.jpg,Boy's Clothing,ishopping,1799,-1
61,61,NR Stylish T-Shirt With Attractive Shorts For Boys White/Blue,https://www.ishopping.pk/nr-stylish-t-shirt-with-attractive-shorts-for-boys-white-blue-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_t-shirt_with_attractive_shorts_white_blue_new_1.jpg,Boy's Clothing,ishopping,1799,-1
62,62,NR Smiley Lining T-Shirt With Shorts For Boys White/Black,https://www.ishopping.pk/nr-smiley-lining-t-shirt-with-shorts-boys-white-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_smiley_lining_t-shirt_with_shorts_for_boys_white_black_new.jpg,Boy's Clothing,ishopping,1799,-1
63,63,NR Stylish T-Shirt With Lining Shorts For Boys White/Black,https://www.ishopping.pk/nr-stylish-t-shirt-with-lining-shorts-boys-white-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_t-shirt_with_lining_shorts_for_boys_white_black_new.jpg,Boy's Clothing,ishopping,1799,-1
64,64,NR Stylish T-Shirt With Lining Shorts For Boys Red/Black,https://www.ishopping.pk/nr-stylish-t-shirt-with-lining-shorts-boys-red-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_t-shirt_with_lining_shorts_for_boys_red_black_new.jpg,Boy's Clothing,ishopping,1799,-1
