Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
710,,,,,Asus ROG Strix GeForce RTX 2060 OC 6GB Graphics Card (ROG-STRIX-RTX2060-O6G-GAMING),https://www.ishopping.pk/asus-2060-oc-6gb-graphics-card-rog-strix-rtx2060-o6g-gaming-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_strix_geforce_rtx_2060_oc_6gb_graphics_card_rog-strix-rtx2060-o6g-gaming__1.jpg,Accessories,ishopping,78000,-1
688,,,,,Asus Rog Dual-Band Wireless AC750 Gigabit Router (RT-AC53),https://www.ishopping.pk/asus-rog-dual-band-wireless-router-rt-ac53-ed-price-in-pakistan-380296.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_dual-band_wireless_ac750_gigabit_router_rt-ac53__1.jpg,Accessories,ishopping,8990,-1
690,,,,,Asus Rog Dual-Band Wireless Wi-Fi Gaming Router (GT-AC2900),https://www.ishopping.pk/asus-rog-wireless-wi-fi-gaming-router-ed-gt-ac2900-price-in-pakistan-380285.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_dual-band_wireless_wi-fi_gaming_router_gt-ac2900__1.jpg,Accessories,ishopping,32500,-1
709,,,,,Asus Rog Gladius II Core Gaming Mouse (P507),https://www.ishopping.pk/asus-rog-gladius-ii-core-gaming-mouse-p507-ed-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/gaming_mouse.jpg,Accessories,ishopping,5650,-1
714,,,,,Asus Rog Strix Carry Gaming Mouse (P508),https://www.ishopping.pk/asus-rog-strix-carry-gaming-mouse-p508-ed-price-in-pakistan-380164.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/gaming_1.jpg,Accessories,ishopping,8290,-1
717,,,,,Asus Rog Strix GeForce RTX 2060S 8GB Graphics Card (ROG-STRIX-RTX2060S-A8G-GAMING),https://www.ishopping.pk/asus-8gb-graphics-card-rog-strix-rtx2060s-a8g-gaming-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_strix_geforce_rtx_2060s_8gb_graphics_card_rog-strix-rtx2060s-a8g-gaming__1.jpg,Accessories,ishopping,83200,-1
682,,,,,Asus TUF B365-PLUS ATX Gaming Motherboard,https://www.ishopping.pk/asus-tuf-b365-plus-atx-gaming-motherboard-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_tuf_b365-plus_atx_gaming_motherboard_1.jpg,Accessories,ishopping,19400,-1
679,,,,,"Asus TUF Curved 32"" HDR Gaming Monitor (VG32VQ)",https://www.ishopping.pk/asus-tuf-curved-32-hdr-gaming-monitor-vg32vq-price-in-pakistan-ed-380474.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/v/_vg32vq__1.jpg,Accessories,ishopping,76900,-1
704,,,,,Asus TUF Gaming H5 Headset,https://www.ishopping.pk/asus-tuf-gaming-h5-headset-ed-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_tuf_gaming_h5_headset_1.jpg,Accessories,ishopping,11800,-1
707,,,,,Asus TUF Gaming H5 Lite Headset,https://www.ishopping.pk/asus-tuf-gaming-h5-lite-headset-ed-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_tuf_gaming_h5_lite_headset_1.jpg,Accessories,ishopping,10300,-1
